"fecha","spi.X100","spi.X101","spi.X102","spi.X104","spi.X105","spi.X107","spi.X108","spi.X109","spi.X110","spi.X111","spi.X112","spi.X113","spi.X116","spi.X117","spi.X118","spi.X119","spi.X120","spi.X121","spi.X122","spi.X123","spi.X124","spi.X125","spi.X126","spi.X200","spi.X201","spi.X202","spi.X203","spi.X204","spi.X205","spi.X206"
"1981-01-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1981-02-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1981-03-01", 1.1240577120, 1.0763456256, 1.0169233736, 0.4186211408, 0.4441336569, 1.2323306168, 0.8185529661, 0.9688074990, 0.7781933754, 0.7953407397, 1.0839498571, 0.9386823180, 1.1249519346, 0.8792745396, 1.1393684183, 0.8875502662, 0.8974728088, 0.1968819076, 1.3647243297, 1.0290813481, 0.8535597656, 0.9136682472, 0.5452928500, 0.3388951959, 0.8538545366,-0.0509089118, 0.4402792029,-0.1803679721, 0.8314620689,-0.1498660877
"1981-04-01", 1.2491875318, 1.1049697447, 1.1415131869, 0.3268080862, 0.4316315209, 1.1099131226, 0.7858975787, 1.0062649913, 0.9797636238, 0.8516902717, 1.2121086189, 0.9498075233, 1.0733721818, 0.7535407602, 1.2621706250, 0.9570057774, 0.9039935029, 0.2330765705, 1.2448631691, 1.0454649700, 0.9078604997, 0.7293174308, 0.5528308426, 0.4404373137, 0.9700534975, 0.0445918350, 0.7152904868,-0.0245076861, 0.9060648107,-0.0557888402
"1981-05-01", 0.4433923514, 1.1170865037, 0.9456696782,-0.1288674077, 0.2105830717, 0.6629689157, 1.0690841073, 1.0015033813, 0.7269875859, 0.8847447587, 0.7280655889, 1.3107813254, 0.8310788467, 0.4357003559, 0.4074416799, 1.0917797350, 0.8482018838, 0.2142722818, 1.4305797582, 0.9051162531, 0.0171848604, 0.6829807041, 0.1691473190, 0.1971812631, 0.5220488777, 0.0465000643, 0.7735998654,-0.3480894574, 0.0793144844,-0.1288520551
"1981-06-01",-0.3481276240, 0.4907541590,-0.4094305335,-0.6246369879, 0.2023014242,-0.2669262092, 0.4404341285, 0.2820913065, 0.4687849981, 1.2563283851,-0.5876937699, 0.3109389232, 0.3348806777,-0.0226551883,-0.4494294616, 0.3935698123, 0.7930489729, 0.6670730865, 0.7589415108,-0.0761447231,-0.3356115326, 0.0557710011, 0.3798068809, 0.1202148083, 0.3317923322, 0.4095653976, 0.8664474198,-0.0648361356, 0.5629682797,-0.1441266155
"1981-07-01",-1.2815515655,-1.4660824777,-0.6421994039,-1.3184552291,-1.0046783517,-1.2016529601,-1.2995082784,-1.5040527092,-1.4210957951,-1.4155845992,-1.4395314709,-1.0056601080,-0.3387373443,-1.3528191080,-1.2815515655,-1.2371128231,-0.8568984808,-1.2695025904,-0.8566308063,-1.4087043147,-1.2899751317,-0.8213945705,-0.2869748336,-0.1358839416, 0.1154490845, 0.4776568327, 0.2512649317,-1.2407840004, 0.7289205297,-0.9066255097
"1981-08-01",-0.2054392543,-0.4689599904, 0.8578779378,-0.0353974156,-0.7462185049,-0.2458826665, 0.0023972773,-0.3548088423,-0.0596691853,-1.2811374072,-0.3010273403, 0.4823490780, 1.0323813282,-0.5473307003,-0.3285615466,-0.4584983422,-0.6400763035,-0.9801850336, 0.0661232931, 0.8525110406, 0.7512187137, 0.5979254790, 0.9837738491, 0.3355156481, 0.5274485291, 0.7891812747, 0.8523423869,-0.3519826027, 1.0354988177,-0.2614039104
"1981-09-01", 1.6139861812, 1.1282669961, 1.8655920890, 1.2233849594,-0.6619935518, 1.1496945804, 1.3626963411, 0.7759882061, 1.3992412820,-0.3644404102, 1.2590958032, 1.1538798138, 1.6173141540, 1.1242009331, 1.2627121662, 1.1418725891,-0.3251105340,-0.2986009922, 0.6259677898, 1.4861866461, 2.1460316355, 1.8006671257, 1.6517537439, 1.6306417051, 1.7038029473, 0.8686262429, 1.7893731509, 0.0063067901, 1.3817545754, 0.0668737936
"1981-10-01", 1.7464351545, 0.6808600776, 1.6452137721, 1.7644094131,-0.1720010215, 1.7480665638, 0.7011702779, 0.7685640109, 1.6642249795, 1.5188085509, 1.4446448030, 0.9126523530, 1.6549309838, 1.7319247503, 1.6222075300, 0.9656520800, 0.2956755044, 0.0544208916, 0.6132001413, 1.4511366843, 2.2402904174, 1.6007684460, 0.8660908946, 1.6817786227, 2.2169926646, 0.5727222180, 2.1255915624, 0.1672868691, 1.7174455451, 0.2675720061
"1981-11-01", 0.8995434120,-0.3241520866, 0.4163059417, 1.0506427226, 0.2351112224, 0.8874979264,-0.3954152422,-0.4327961319, 0.9606419735, 0.5681829962, 0.7150977198,-0.3836997715, 0.0644080951, 0.7227797261, 0.8301585624, 0.2510365904,-0.3366867315,-0.1986634598, 0.0617515766, 0.6863032843, 1.5422835161, 0.5251888225, 0.3519627185, 0.5970400817, 1.7471095206, 0.2125332844, 1.1101473262, 0.2338884791, 1.4107147835, 0.0284817385
"1981-12-01", 0.4444757343, 0.2511228887, 0.0485613124, 0.9250069979, 0.5257314733, 0.4843858122, 0.4344607548, 0.6272430969, 0.4042262810, 0.9334614778, 0.2999898673, 0.4761881519, 0.1514568863, 0.6106714665, 0.4422876726, 0.0654841439, 0.4274592220, 0.5966017724, 0.7631364878, 0.2266126198, 0.1800938030, 0.7709655116, 0.2586881229, 0.9422751902, 1.3154547306, 0.8121506443, 1.3721363751, 0.1822363335, 0.6310784185,-0.0100200238
"1982-01-01", 0.8062615674, 0.5838098761, 0.3271519738, 0.8358007285, 0.4988868267, 0.5323565983, 0.5819997275, 0.6739895243, 0.6925382586, 0.3292737929, 0.5146905888, 0.5195501157, 0.2932358157, 0.7472360027, 0.8053944952, 0.6981105029, 0.5952957982, 0.2247475709, 0.4691001091, 0.5063864881, 0.6696254052, 0.9629002396, 0.4715431974, 0.9842323189, 0.8920625364, 0.6951068901, 1.1114878101, 0.2734491524, 1.1020904346,-0.1213120965
"1982-02-01", 0.1357419690, 0.0255741484,-0.1280569225, 0.0525278941,-0.0417261989,-0.1282652612, 0.0864462899, 0.3525851055, 0.0518509349,-0.2231346375,-0.1062578714, 0.1303615760, 0.0030260961, 0.1361890283, 0.1085617562, 0.0794986182,-0.0067024869,-0.3700522044,-0.0844524241,-0.1065569261,-0.0247246412, 0.8833577880,-0.1603572243, 0.3503867187, 0.2679610470, 0.0430658178, 0.4377650971,-0.4569521232, 0.2343682710,-0.6667305057
"1982-03-01", 0.3551747810,-0.1164838559, 0.1463218655, 0.6416921503,-0.0940014668,-0.0177446610,-0.0278573785, 0.1625603926, 0.5366458467,-0.5330512505, 0.0379094553, 0.0292241855, 0.0147995923, 0.2399654548, 0.3145323308, 0.1438656549,-0.0186361382,-0.5943250220,-0.3634158842, 0.0222532571, 0.2953929581, 0.6183766223, 0.0701271100,-0.0206344838, 0.2214518006,-0.2783236642, 0.2605511794,-0.3809724310, 0.6049354848,-0.6497886342
