"fecha","spei100","spei101","spei102","spei104","spei105","spei107","spei108","spei109","spei110","spei111","spei112","spei113","spei116","spei117","spei118","spei119","spei120","spei121","spei122","spei123","spei124","spei125","spei126","spei200","spei201","spei202","spei203","spei204","spei205","spei206"
"1981-01-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1981-02-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1981-03-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1981-04-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1981-05-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1981-06-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1981-07-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1981-08-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1981-09-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1981-10-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1981-11-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1981-12-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1982-01-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1982-02-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1982-03-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1982-04-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1982-05-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1982-06-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1982-07-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1982-08-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1982-09-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1982-10-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1982-11-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1982-12-01",1.11808393227639,0.873054035814193,0.949188227768748,1.05509582704023,0.491307776234819,1.01348461179477,0.950095640477155,1.00806801535163,1.06431978776056,0.740568936300792,0.963274765872027,1.04749661118492,1.13223204188206,0.916602432860621,1.09390900220781,0.989804793461051,0.757837560798522,0.266763774626107,1.08715173451673,0.826111512203721,0.857028141889415,1.34292497338283,0.625468469178087,0.742528723003537,1.04695657232813,0.402516321097509,1.04713623934179,-0.231707891015852,1.12195184077152,-0.127679619077753
"1983-01-01",0.766145582283998,0.381107288820128,0.521769143687205,0.715518777711655,0.00625970935120869,0.668380577689296,0.373336687040098,0.386879322014404,0.71703735836642,0.257852684735576,0.616184361469995,0.571491801749547,0.672245288811753,0.448405777000673,0.735181983113392,0.643497261398404,0.217025423786084,-0.159101896108136,0.509354695676172,0.461562152209979,0.491359361734029,0.927145677140724,0.0795572622423216,0.367964434848578,0.85761602554296,-0.0341192302932459,0.701092893633288,-0.666726503216363,0.92370661120107,-0.636374125975
"1983-02-01",0.116401929640946,-0.425598358608046,-0.0452089898838651,0.269702449613409,-0.546420082626746,-0.0392723533914229,-0.240729679425333,-0.444518780524017,0.27255837627247,-0.612091973853611,0.00168535792948461,-0.0348858691983879,-0.132465185343786,-0.266396408852601,0.0659416754706079,0.155829602541247,-0.502316939507639,-0.723321685210488,-0.190276774063565,-0.125457344654813,-0.0802295499019288,0.429461968646401,-0.584052688671181,-0.250632341186943,0.490253528843729,-0.549011690612161,0.26269319642083,-1.22353278649704,0.434418837604984,-1.21450931950719
"1983-03-01",-0.34618813865386,-0.916948661863501,-0.613110691114162,-0.0688177796517905,-0.87223007850069,-0.487159824445515,-0.758171160043637,-0.911976208797231,-0.167823610359647,-1.03172132575461,-0.453779136960096,-0.637812633992369,-0.695862543085354,-0.681977918030355,-0.384412118266656,-0.350511070169119,-0.930079233855362,-0.974756222319018,-0.664558690488307,-0.610395158532768,-0.410382947998575,-0.11589846132427,-0.872278607571134,-0.630652753527254,0.229038730822301,-0.933134809561673,-0.14310902651403,-1.38823894723033,0.0872432900022217,-1.49082312725495
