"fecha","spi100","spi101","spi102","spi104","spi105","spi107","spi108","spi109","spi110","spi111","spi112","spi113","spi116","spi117","spi118","spi119","spi120","spi121","spi122","spi123","spi124","spi125","spi126","spi200","spi201","spi202","spi203","spi204","spi205","spi206"
"1981-01-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1981-02-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1981-03-01",1.124057712,1.0768861319,1.0174983262,0.4188256206,0.4445562552,1.2327317441,0.8209912351,0.9687007927,0.775537793,0.795352425,1.0800791676,0.9415224422,1.1256634788,0.8775529341,1.1383193208,0.886684778,0.8981778254,0.1968819076,1.3647243297,1.0202068201,0.8435303008,0.9013703545,0.5331378108,0.3388990966,0.8538545366,-0.0508986606,0.440341945,-0.1803522924,0.8321988118,-0.1499613602
"1981-04-01",1.2491889997,1.1062692618,1.1409825146,0.3271379384,0.4314777617,1.109503836,0.7899924228,1.0066605995,0.9828708564,0.8515947912,1.2126895304,0.9537761617,1.0724729666,0.7516427743,1.2630463079,0.9538921849,0.9048599147,0.2330765705,1.2448631691,1.0353037911,0.9052008331,0.7511197649,0.5373707651,0.4404421413,0.9700534975,0.0445766564,0.7151925731,-0.024518347,0.9071335132,-0.0559340173
"1981-05-01",0.4433658434,1.1198637352,0.9467220863,-0.1283494814,0.2084165374,0.6625601115,1.0688068586,1.0055266803,0.7334418757,0.8847557855,0.7302903891,1.3080924668,0.8299795601,0.4356777815,0.4064990765,1.0921769233,0.8487886018,0.2142722818,1.4305797582,0.8789957296,0.0887769342,0.8162718079,0.1857227953,0.1971840972,0.5220488777,0.0464684066,0.7734928192,-0.3481133213,0.0790931776,-0.128901885
"1981-06-01",-0.3483220633,0.5439760812,-0.3696960567,-0.6146088595,0.1994233221,-0.2617530349,0.4643272027,0.3172550564,0.5205237854,1.2564108772,-0.5573136653,0.3344817914,0.3351217852,-0.0203141882,-0.4454787484,0.3903636819,0.7953731572,0.6670730865,0.7589415108,-0.4644574776,-0.0112483796,0.6746966206,0.3557421102,0.1202148083,0.3317923322,0.4095653976,0.8664474198,-0.064728422,0.5630088712,-0.1444853481
"1981-07-01",-1.2815515655,-1.4482689539,-0.650658206,-1.3177091116,-0.9844028213,-1.2053535092,-1.3134927693,-1.4929614623,-1.4098279825,-1.4151861838,-1.4395314709,-1.0072015595,-0.3393450051,-1.3479764359,-1.2815515655,-1.2590088249,-0.849604873,-1.2695025904,-0.8566308063,-0.8697967578,-1.2644885766,-0.925462516,-0.3229379367,-0.1358839416,0.1154490845,0.4776568327,0.2512649317,-1.2407840004,0.7289205297,-0.9065608675
"1981-08-01",-0.2054392543,-0.4517454128,0.8624429814,-0.0252990811,-0.7303887352,-0.2927701902,0.0251996114,-0.32790169,-0.0322352547,-1.2811374072,-0.2904974546,0.5310109809,1.0300154464,-0.5760885651,-0.3361629511,-0.4851464739,-0.6202429358,-0.9801850336,0.0661232931,0.2912327064,0.2402522782,0.1600979344,0.3059388829,0.3355156481,0.5274485291,0.7891812747,0.8523423869,-0.3518102649,1.0354988177,-0.2619272838
"1981-09-01",1.6139861812,1.097354936,1.8715355266,1.2260328814,-0.6453865515,1.1355252323,1.3579776098,0.8298377066,1.4032594827,-0.3648103879,1.2389144458,1.1817719385,1.6245178525,1.1252065707,1.2538829741,1.1212501774,-0.2988556628,-0.2986009922,0.6259677898,1.3557431658,1.4916200465,1.3862746891,1.5674780682,1.63056336,1.7038029473,0.8686262429,1.7893731509,0.0064193161,1.3817545754,0.0672881205
"1981-10-01",1.7464351545,0.6991766343,1.6656142663,1.7600600044,-0.1792903887,1.7419934147,0.7245126673,0.7945462157,1.6541139876,1.5174644613,1.4396140666,0.9310248246,1.6576873892,1.730916829,1.6133505769,0.9160806607,0.2927375158,0.0544208916,0.6132001413,1.2978365989,2.1734923369,1.1768202969,0.253393452,1.681706209,2.2169926646,0.572722218,2.1255915624,0.1673181168,1.7174455451,0.2682182305
"1981-11-01",0.899543412,-0.3339585954,0.4168469146,1.0476126589,0.2326359361,0.8920019996,-0.4202531933,-0.4311568917,0.9517026032,0.5679314303,0.6994171461,-0.3920949469,0.0500260204,0.7256946962,0.8264709225,0.2129671194,-0.3382476739,-0.1986634598,0.0617515766,0.5276541243,1.2535100291,-0.203139601,0.1913151913,0.5969731947,1.7471095206,0.2125332844,1.1101473262,0.2339553633,1.4107147835,0.0285101826
"1981-12-01",0.4444757343,0.2700377887,0.0520903194,0.9263544556,0.5251617945,0.4814694911,0.4365009051,0.6337290353,0.404425853,0.9336592354,0.301333079,0.4819640634,0.1526584139,0.6146009342,0.4422784576,0.071138221,0.4342006203,0.5966017724,0.7631364878,0.221355666,0.1952767684,0.7772355359,0.2475875215,0.9422751902,1.3154547306,0.8121774566,1.3721363751,0.182266185,0.6310614284,-0.0099997457
"1982-01-01",0.8062615674,0.5854582567,0.3241052653,0.834781948,0.4979678831,0.5333872233,0.5771420908,0.675103727,0.6953249522,0.3316532375,0.516156171,0.5183048632,0.2913914406,0.7516150917,0.8063709348,0.6941545402,0.5971663277,0.2247475709,0.4691001091,0.5055793693,0.6784431691,0.974424303,0.4729150115,0.9842324087,0.8920625364,0.6950813233,1.1114714419,0.2734564509,1.1020989575,-0.1212402001
"1982-02-01",0.135741969,0.0256647397,-0.1256481986,0.0444481461,-0.0472376943,-0.1297487344,0.0848696815,0.3522923721,0.0621601375,-0.2209384876,-0.1047826547,0.1342463579,0.0027650652,0.1362481285,0.1117578458,0.0752592677,-0.0013356591,-0.3700522044,-0.0844524241,-0.127882489,0.0123154337,0.8735829899,-0.0841412446,0.3503797206,0.267961047,0.0428318688,0.4373429184,-0.4570596243,0.2344053394,-0.6669767592
"1982-03-01",0.355174781,-0.1210352407,0.1443920854,0.639946604,-0.0963409473,-0.0194047985,-0.0239950441,0.1631967702,0.5369797087,-0.5332982175,0.0352200258,0.0369019302,0.0125339001,0.2426302641,0.3153951692,0.1361855896,-0.0165577015,-0.594325022,-0.3634158842,-0.0251411062,0.3246793765,0.5762811647,0.1404014608,-0.0206426325,0.2214518006,-0.2784477845,0.2602517556,-0.3810326614,0.6043665286,-0.649444276
"1982-04-01",-0.1184290568,-0.4348444678,-0.0675118023,0.5165533145,-0.3366629674,-0.2225679909,-0.2268285268,-0.0851806399,0.2830360312,-0.6012274607,-0.2721895466,-0.0330076259,-0.125798838,0.0197957795,-0.178735454,-0.3075929558,-0.2956145212,-0.5741458074,-0.484380794,-0.338997406,-0.0919352019,0.2689393465,-0.0069807435,-0.5277308608,-0.0147609242,-0.5803844105,-0.0717576274,-0.6456708208,-0.199632396,-0.7079124349
