"fecha","spi.X100","spi.X101","spi.X102","spi.X104","spi.X105","spi.X107","spi.X108","spi.X109","spi.X110","spi.X111","spi.X112","spi.X113","spi.X116","spi.X117","spi.X118","spi.X119","spi.X120","spi.X121","spi.X122","spi.X123","spi.X124","spi.X125","spi.X126","spi.X200","spi.X201","spi.X202","spi.X203","spi.X204","spi.X205","spi.X206"
"1981-01-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1981-02-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1981-03-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1981-04-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1981-05-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1981-06-01", 1.015747e+00, 1.089560e+00, 9.340761e-01, 3.033955e-01, 4.371802e-01, 1.135232e+00, 8.223437e-01, 9.650475e-01, 7.885506e-01, 8.477420e-01, 9.902038e-01, 9.242468e-01, 1.117852e+00, 8.454390e-01, 1.021603e+00, 8.943500e-01, 9.203811e-01, 2.145592e-01, 1.378194e+00, 9.828093e-01, 7.890036e-01, 9.058145e-01, 5.491437e-01, 3.165528e-01, 7.870098e-01,-2.826033e-02, 5.213758e-01,-1.925024e-01, 8.625293e-01,-1.710874e-01
"1981-07-01", 1.010312e+00, 1.026451e+00, 1.041795e+00, 7.227574e-02, 3.591807e-01, 1.032369e+00, 7.189278e-01, 9.662480e-01, 7.123972e-01, 7.887667e-01, 1.012356e+00, 9.167652e-01, 1.044296e+00, 6.420475e-01, 9.560074e-01, 8.647112e-01, 8.760586e-01, 1.657828e-01, 1.219893e+00, 1.000005e+00, 7.817238e-01, 6.709906e-01, 5.289867e-01, 3.763769e-01, 7.846621e-01, 4.953399e-02, 6.950786e-01,-8.148140e-02, 9.936141e-01,-1.241489e-01
"1981-08-01", 3.124737e-01, 1.018075e+00, 1.221392e+00,-2.077547e-01, 5.478585e-02, 5.961840e-01, 1.075195e+00, 9.643063e-01, 5.783105e-01, 7.167109e-01, 5.630122e-01, 1.390020e+00, 1.150798e+00, 2.705488e-01, 1.875004e-01, 9.912453e-01, 7.894678e-01, 7.854085e-02, 1.481544e+00, 9.827264e-01, 1.921689e-01, 7.557058e-01, 2.481872e-01, 2.110591e-01, 5.920775e-01, 1.271591e-01, 9.078093e-01,-4.317413e-01, 7.323803e-01,-2.113659e-01
"1981-09-01", 9.381293e-01, 8.567851e-01, 1.437122e+00, 5.242347e-01,-1.366587e-01, 4.055403e-01, 9.437648e-01, 4.271795e-01, 1.190133e+00, 7.732969e-01, 6.196206e-01, 8.364186e-01, 1.446660e+00, 5.440884e-01, 6.735976e-01, 8.969001e-01, 5.380001e-01, 3.767127e-01, 8.525843e-01, 8.972852e-01, 1.330162e+00, 1.570452e+00, 1.030350e+00, 7.582628e-01, 1.055336e+00, 7.295903e-01, 1.515952e+00,-1.338716e-01, 1.040214e+00,-1.046293e-01
"1981-10-01", 8.258420e-01,-1.496177e-01, 1.101498e+00, 8.588854e-01,-8.355308e-01, 1.076112e+00, 8.016326e-02,-2.812293e-01, 7.384652e-01,-7.409008e-01, 4.084468e-01, 4.780969e-01, 1.362425e+00, 6.986140e-01, 5.387862e-01, 2.101515e-01,-5.035151e-01,-7.988841e-01, 9.129044e-02, 1.093435e+00, 1.547823e+00, 1.299542e+00, 5.252755e-01, 1.055534e+00, 1.441463e+00, 5.848181e-01, 1.541234e+00,-2.849836e-01, 1.365363e+00,-1.626204e-01
"1981-11-01", 6.756719e-01,-5.283295e-01, 7.052268e-01, 8.196404e-01,-2.019831e-01, 7.276125e-01,-3.963182e-01,-5.267148e-01, 6.743267e-01,-4.418788e-01, 4.571755e-01,-1.508042e-01, 5.686250e-01, 4.001632e-01, 5.112194e-01, 4.080007e-02,-5.763138e-01,-6.465307e-01, 4.720267e-02, 8.059815e-01, 1.580643e+00, 5.870874e-01, 6.648876e-01, 5.673364e-01, 1.456248e+00, 3.793577e-01, 1.223560e+00, 9.615555e-02, 1.489516e+00,-1.054903e-01
"1981-12-01", 8.998004e-01, 4.025032e-01, 7.863293e-01, 1.133825e+00, 4.325282e-01, 7.426418e-01, 6.446813e-01, 6.581836e-01, 8.346559e-01, 8.069956e-01, 6.419565e-01, 6.516959e-01, 7.454305e-01, 8.091587e-01, 7.989901e-01, 3.371052e-01, 3.807991e-01, 5.260113e-01, 8.278524e-01, 5.869469e-01, 8.315672e-01, 1.294463e+00, 4.958912e-01, 1.219845e+00, 1.770971e+00, 9.029681e-01, 1.771142e+00, 1.500155e-01, 1.131336e+00,-2.047668e-02
"1982-01-01", 1.109184e+00, 6.216941e-01, 6.434953e-01, 1.122566e+00, 4.718965e-01, 7.746271e-01, 6.295924e-01, 6.899449e-01, 9.864844e-01, 3.393078e-01, 7.453012e-01, 5.835812e-01, 5.922310e-01, 9.344840e-01, 1.091016e+00, 7.819534e-01, 5.907212e-01, 1.999970e-01, 4.886717e-01, 6.874934e-01, 1.056595e+00, 1.186993e+00, 5.117082e-01, 1.213960e+00, 1.494392e+00, 7.369771e-01, 1.385538e+00, 2.653733e-01, 1.432816e+00,-9.708895e-02
"1982-02-01", 3.558812e-01,-6.799187e-02,-5.001006e-02, 3.563991e-01,-4.566491e-02, 2.794816e-02,-9.984901e-03, 2.976302e-01, 2.908442e-01,-2.187014e-01, 5.416103e-02, 4.980714e-02,-3.109606e-02, 2.379718e-01, 3.124442e-01, 8.382892e-02,-5.689093e-02,-4.012578e-01,-1.064572e-01,-3.041304e-03, 2.869621e-01, 9.654771e-01,-1.510758e-01, 4.341563e-01, 8.181809e-01, 3.552586e-02, 6.342796e-01,-4.479455e-01, 6.881069e-01,-6.829987e-01
"1982-03-01", 4.523894e-01,-2.099042e-02, 1.070232e-01, 8.761807e-01, 3.688710e-02, 1.167320e-01, 1.003747e-01, 3.142049e-01, 5.567537e-01,-2.726387e-01, 1.243830e-01, 1.620776e-01, 4.139192e-02, 3.685225e-01, 4.198986e-01, 1.144456e-01, 7.842797e-02,-3.697931e-01,-1.232086e-01, 7.229264e-02, 2.888676e-01, 7.725463e-01, 1.102305e-01, 2.466527e-01, 6.779504e-01,-1.391079e-02, 6.496420e-01,-3.264999e-01, 7.304161e-01,-5.971909e-01
